"disabledOnThisBranch","_id","barcode","code","zone","aisle","shelf","name","scientificName","itemId","collection","unit","category","categoryId","brand","inventory","inventoryId","quantity","quantities","packagingQuantity","expires","packaging","quantityInPackaging","quantityByDefaultPackaging","singleBadgeNumber","itemCostPrice","itemCostPriceCurrency","costPrice","costPriceIqd","costPriceUsd","sellingPriceMultiple","sellingPrice","defaultCurrency","defaultCurrencyMultiple","exRate","parentItem","parentItemId","totalCostPrice","totalCostPriceIqd","totalCostPriceUsd","costPriceCurrency","itemExpenseCost","trader","traderName","attributes","supplier","inventoryReminderQuantity","volume","weight","potentialSalesValue","display","packing","currentRent","key","rowIndex","expiryDate"
"no","6a44fbe67bd19ff6267d9632","228","","","","","2.5 INEO","","","","","HARD COVER","6a44fbe67bd19ff6267d962f","","سەرەکی","6a44cc677bd19ff6267d63f4","1","","1","no","1 دانە","1","1","true","3","$","3","0","3","10","15","$","$","","","","","0","3","$","","","","","","10","0","0","15","true","","0","6a44fbe67bd19ff6267d9632-0","0",""
"no","6a44fbef7bd19ff6267da27c","740","","","","","256gb bullet external","","","","","EXTERNAL SSD","6a44fbeb7bd19ff6267d9d9b","","سەرەکی","6a44cc677bd19ff6267d63f4","3","","3","no","3 دانە","1","3","true","22","$","22","0","22","55","65","$","$","","","","","0","66","$","","","","","","10","0","0","195","true","","0","6a44fbef7bd19ff6267da27c-1","1",""
"no","6a44fbed7bd19ff6267da03e","603","","","","","AKG type c","","","","","EARPHONE","6a44fbe67bd19ff6267d9705","","سەرەکی","6a44cc677bd19ff6267d63f4","2","","2","no","2 دانە","1","2","true","3","$","3","0","3","5","6","$","$","","","","","0","6","$","","","","","","10","0","0","12","true","","0","6a44fbed7bd19ff6267da03e-2","2",""
"no","6a44fbe77bd19ff6267d975c","278","","","","","AMD Athlon 3000g","","","","","CPU","6a44fbe77bd19ff6267d9741","","سەرەکی","6a44cc677bd19ff6267d63f4","18","","18","no","18 دانە","1","18","true","43","$","43","0","43","50","65","$","$","","","","","0","774","$","","","","","","10","0","0","1170","true","","0","6a44fbe77bd19ff6267d975c-3","3",""
"no","6a44fbe87bd19ff6267d991c","312","","","","","AMD Ryzen 5 3600","","","","","CPU","6a44fbe77bd19ff6267d9741","","سەرەکی","6a44cc677bd19ff6267d63f4","2","","2","no","2 دانە","1","2","true","85","$","85","0","85","90","100","$","$","","","","","0","170","$","","","","","","10","0","0","200","true","","0","6a44fbe87bd19ff6267d991c-4","4",""
"no","6a44fbef7bd19ff6267da294","724","","","","","AMD Ryzen 5 3600 Box","","","","","CPU","6a44fbe77bd19ff6267d9741","","سەرەکی","6a44cc677bd19ff6267d63f4","4","","4","no","4 دانە","1","4","true","75","$","75","0","75","90","115","$","$","","","","","0","300","$","","","","","","10","0","0","460","true","","0","6a44fbef7bd19ff6267da294-5","5",""
"no","6a44fbf27bd19ff6267da674","956","","","","","AMD Ryzen 5 5500 Used","","","","","CPU","6a44fbe77bd19ff6267d9741","","سەرەکی","6a44cc677bd19ff6267d63f4","2","","2","no","2 دانە","1","2","true","40","$","40","0","40","60","80","$","$","","","","","0","80","$","","","","","","10","0","0","160","true","","0","6a44fbf27bd19ff6267da674-6","6",""
"no","6a44fbee7bd19ff6267da140","318","","","","","AMD Ryzen 5 5500 tray","","","","","CPU","6a44fbe77bd19ff6267d9741","","سەرەکی","6a44cc677bd19ff6267d63f4","23","","23","no","23 دانە","1","23","true","71.14","$","71.14","0","71.14","90","110","$","$","","","","","0","1636.22","$","","","","","","10","0","0","2530","true","","0","6a44fbee7bd19ff6267da140-7","7",""
"no","6a44fbe77bd19ff6267d97b4","250","","","","","AMD Ryzen 5 5600 tray","","","","","CPU","6a44fbe77bd19ff6267d9741","","سەرەکی","6a44cc677bd19ff6267d63f4","9","","9","no","9 دانە","1","9","true","105","$","105","0","105","120","135","$","$","","","","","0","945","$","","","","","","10","0","0","1215","true","","0","6a44fbe77bd19ff6267d97b4-8","8",""
"no","6a44fbe77bd19ff6267d9832","319","","","","","AMD Ryzen 5 5600x tray","","","","","CPU","6a44fbe77bd19ff6267d9741","","سەرەکی","6a44cc677bd19ff6267d63f4","20","","20","no","20 دانە","1","20","true","110.6","$","110.6","0","110.6","137","160","$","$","","","","","0","2212","$","","","","","","10","0","0","3200","true","","0","6a44fbe77bd19ff6267d9832-9","9",""
